country,year,product_group,grouping_level,export_usd_thousand,import_usd_thousand,trade_balance_usd_thousand,export_product_share_pct,import_product_share_pct,ahs_simple_average_pct,ahs_weighted_average_pct,ahs_total_tariff_lines,ahs_dutiable_tariff_lines_share_pct,ahs_duty_free_tariff_lines_share_pct,ahs_specific_tariff_lines_share_pct,ahs_ave_tariff_lines_share_pct,ahs_maxrate_pct,ahs_minrate_pct,ahs_specificduty_imports_usd_thousand,ahs_dutiable_imports_usd_thousand,ahs_duty_free_imports_usd_thousand,mfn_simple_average_pct,mfn_weighted_average_pct,mfn_total_tariff_lines,mfn_dutiable_tariff_lines_share_pct,mfn_duty_free_tariff_lines_share_pct,mfn_specific_tariff_lines_share_pct,mfn_ave_tariff_lines_share_pct,mfn_maxrate_pct,mfn_minrate_pct,mfn_specificduty_imports_usd_thousand,mfn_dutiable_imports_usd_thousand,mfn_duty_free_imports_usd_thousand
Madagascar,2023,Mach and Elec,Sector,35901.06,15.35,35885.71,4.28,0.01,3.11,3.77,28.0,42.86,57.14,0.0,0.0,5.0,0.0,0.0,8.12,2.48,3.11,3.77,28.0,42.86,57.14,0.0,0.0,5.0,0.0,0.0,8.12,2.48
Madagascar,2023,Metals,Sector,9480.89,23.07,9457.82,1.13,0.02,6.33,8.08,32.0,100.0,0.0,0.0,0.0,15.0,5.0,0.0,12.86,0.0,6.33,8.08,32.0,100.0,0.0,0.0,0.0,15.0,5.0,0.0,12.86,0.0
Madagascar,2023,Minerals,Sector,71743.5,144.45,71599.05,8.56,0.1,5.0,4.89,30.0,96.67,3.33,0.0,0.0,15.0,0.0,0.0,122.68,6.82,5.0,4.89,30.0,96.67,3.33,0.0,0.0,15.0,0.0,0.0,122.68,6.82
Madagascar,2023,Miscellaneous,Sector,4600.9,480.19,4120.71,0.55,0.34,5.97,3.27,163.0,93.87,6.13,0.0,0.0,40.0,0.0,0.0,209.51,105.98,5.97,3.27,163.0,93.87,6.13,0.0,0.0,40.0,0.0,0.0,209.51,105.98
Madagascar,2023,Plastic or Rubber,Sector,18246.67,16.73,18229.94,2.18,0.01,5.06,5.12,44.0,93.18,0.0,6.82,0.0,6.5,5.0,0.0,8.02,0.0,5.27,5.12,44.0,100.0,0.0,0.0,0.0,6.5,5.0,0.0,8.02,0.0
Madagascar,2023,Stone and Glass,Sector,12374.85,79431.81,-67056.95999999999,1.48,55.95,5.83,0.63,45.0,88.89,11.11,0.0,0.0,40.0,0.0,0.0,10018.24,69366.23,5.83,0.63,45.0,88.89,11.11,0.0,0.0,40.0,0.0,0.0,10018.24,69366.23
Madagascar,2023,Textiles and Clothing,Sector,28815.18,14578.65,14236.53,3.44,10.27,9.46,5.36,787.0,96.44,3.56,0.0,0.0,40.0,0.0,0.0,12945.09,113.33,9.73,5.37,787.0,99.62,0.38,0.0,0.0,40.0,0.0,0.0,12953.69,104.72
Madagascar,2023,Transportation,Sector,13899.73,5.46,13894.27,1.66,0.0,5.0,5.0,14.0,92.86,0.0,7.14,0.0,5.0,5.0,0.34,3.48,0.0,5.0,5.0,14.0,92.86,0.0,7.14,0.0,5.0,5.0,0.34,3.48,0.0
Madagascar,2023,Vegetable,Sector,118964.84,41379.52,77585.32,14.19,29.15,4.32,4.49,224.0,61.61,35.27,3.13,0.0,40.0,0.0,2.64,35262.58,3303.9,5.16,4.54,224.0,75.0,21.88,3.13,0.0,40.0,0.0,2.64,35886.06,2680.43
Madagascar,2023,Wood,Sector,16637.34,882.02,15755.32,1.99,0.62,9.86,6.03,97.0,96.91,1.03,2.06,0.0,40.0,0.0,0.05,835.2,0.0,9.6,6.03,97.0,98.97,1.03,0.0,0.0,40.0,0.0,0.0,835.2,0.0
Madagascar,2023,All Products,Total,838157.13,141957.38,696199.75,100.0,100.0,8.21,2.27,1991.0,91.66,7.53,0.8,0.0,40.0,0.0,36.78,60991.07,75349.97,8.48,2.29,1991.0,94.78,4.67,0.55,0.0,40.0,0.0,36.72,61624.07,74716.97
Mauritius,2023,Capital goods,Broad Economic Category,47913.92,1748.38,46165.54,8.11,4.93,3.64,4.56,129.0,62.02,37.98,0.0,0.0,30.0,0.0,0.0,720.09,56.53,3.64,4.56,129.0,62.02,37.98,0.0,0.0,30.0,0.0,0.0,720.09,56.53
